COSPAR International Reference Atmosphere (CIRA-86). January 1st, 1968, Equator. https://catalogue.ceda.ac.uk/uuid/d758b820b4eba646ff0d6c05b552e23d/.
Altitude(km)   Pressure(bar)  T(K)           
0.000e+00      1.013e+00      3.008e+02      
2.124e+00      7.889e-01      2.878e+02      
4.195e+00      6.144e-01      2.769e+02      
6.189e+00      4.785e-01      2.657e+02      
8.101e+00      3.727e-01      2.536e+02      
9.908e+00      2.902e-01      2.400e+02      
1.162e+01      2.260e-01      2.262e+02      
1.322e+01      1.760e-01      2.121e+02      
1.473e+01      1.371e-01      2.004e+02      
1.617e+01      1.068e-01      1.949e+02      
1.760e+01      8.315e-02      1.967e+02      
1.905e+01      6.476e-02      2.013e+02      
2.053e+01      5.043e-02      2.059e+02      
2.205e+01      3.928e-02      2.106e+02      
2.361e+01      3.059e-02      2.148e+02      
2.519e+01      2.382e-02      2.181e+02      
2.680e+01      1.855e-02      2.208e+02      
2.843e+01      1.445e-02      2.236e+02      
3.008e+01      1.125e-02      2.275e+02      
3.177e+01      8.764e-03      2.330e+02      
3.349e+01      6.826e-03      2.391e+02      
3.526e+01      5.316e-03      2.446e+02      
3.707e+01      4.140e-03      2.495e+02      
3.891e+01      3.224e-03      2.537e+02      
4.078e+01      2.511e-03      2.576e+02      
4.268e+01      1.956e-03      2.609e+02      
4.460e+01      1.523e-03      2.636e+02      
4.654e+01      1.186e-03      2.657e+02      
4.849e+01      9.237e-04      2.673e+02      
5.046e+01      7.194e-04      2.679e+02      
5.241e+01      5.603e-04      2.674e+02      
5.436e+01      4.363e-04      2.653e+02      
5.629e+01      3.398e-04      2.617e+02      
5.818e+01      2.647e-04      2.566e+02      
6.004e+01      2.061e-04      2.507e+02      
6.185e+01      1.605e-04      2.445e+02      
6.362e+01      1.250e-04      2.379e+02      
6.533e+01      9.736e-05      2.313e+02      
6.699e+01      7.582e-05      2.250e+02      
6.862e+01      5.905e-05      2.196e+02      
7.022e+01      4.599e-05      2.153e+02      
7.178e+01      3.582e-05      2.124e+02      
7.333e+01      2.789e-05      2.104e+02      
7.487e+01      2.172e-05      2.089e+02      
7.639e+01      1.692e-05      2.077e+02      
7.791e+01      1.318e-05      2.069e+02      
7.943e+01      1.026e-05      2.060e+02      
8.094e+01      7.992e-06      2.045e+02      
8.243e+01      6.224e-06      2.023e+02      
8.390e+01      4.847e-06      1.991e+02      
8.535e+01      3.775e-06      1.957e+02      
8.676e+01      2.940e-06      1.927e+02      
8.816e+01      2.290e-06      1.901e+02      
8.955e+01      1.783e-06      1.885e+02      
9.093e+01      1.389e-06      1.875e+02      
9.231e+01      1.082e-06      1.872e+02      
9.369e+01      8.423e-07      1.873e+02      
9.508e+01      6.560e-07      1.872e+02      
9.647e+01      5.109e-07      1.873e+02      
9.786e+01      3.979e-07      1.876e+02      
9.927e+01      3.099e-07      1.883e+02      
1.007e+02      2.413e-07      1.894e+02      
1.021e+02      1.880e-07      1.917e+02      
1.036e+02      1.464e-07      1.957e+02      
1.051e+02      1.140e-07      2.022e+02      
1.067e+02      8.878e-08      2.114e+02      
1.084e+02      6.914e-08      2.263e+02      
1.103e+02      5.385e-08      2.507e+02      
1.124e+02      4.194e-08      2.832e+02      
1.148e+02      3.266e-08      3.238e+02      
1.176e+02      2.544e-08      3.725e+02      
