COSPAR International Reference Atmosphere (CIRA-86). January 1st, 1968, 45 degrees N. https://catalogue.ceda.ac.uk/uuid/d758b820b4eba646ff0d6c05b552e23d/.
Altitude(km)   Pressure(bar)  T(K)           
-1.800e-02     1.013e+00      2.806e+02      
1.974e+00      7.889e-01      2.649e+02      
3.880e+00      6.144e-01      2.551e+02      
5.711e+00      4.785e-01      2.433e+02      
7.456e+00      3.727e-01      2.311e+02      
9.114e+00      2.902e-01      2.223e+02      
1.073e+01      2.260e-01      2.186e+02      
1.233e+01      1.760e-01      2.172e+02      
1.391e+01      1.371e-01      2.170e+02      
1.550e+01      1.068e-01      2.167e+02      
1.708e+01      8.315e-02      2.163e+02      
1.867e+01      6.476e-02      2.161e+02      
2.025e+01      5.043e-02      2.162e+02      
2.183e+01      3.928e-02      2.167e+02      
2.342e+01      3.059e-02      2.177e+02      
2.502e+01      2.382e-02      2.193e+02      
2.663e+01      1.855e-02      2.216e+02      
2.827e+01      1.445e-02      2.244e+02      
2.992e+01      1.125e-02      2.272e+02      
3.159e+01      8.764e-03      2.301e+02      
3.329e+01      6.826e-03      2.332e+02      
3.501e+01      5.316e-03      2.368e+02      
3.676e+01      4.140e-03      2.407e+02      
3.854e+01      3.224e-03      2.450e+02      
4.035e+01      2.511e-03      2.492e+02      
4.219e+01      1.956e-03      2.533e+02      
4.405e+01      1.523e-03      2.563e+02      
4.594e+01      1.186e-03      2.579e+02      
4.783e+01      9.237e-04      2.577e+02      
4.970e+01      7.194e-04      2.554e+02      
5.156e+01      5.603e-04      2.513e+02      
5.338e+01      4.363e-04      2.461e+02      
5.516e+01      3.398e-04      2.403e+02      
5.690e+01      2.647e-04      2.358e+02      
5.862e+01      2.061e-04      2.320e+02      
6.031e+01      1.605e-04      2.292e+02      
6.198e+01      1.250e-04      2.274e+02      
6.364e+01      9.736e-05      2.261e+02      
6.529e+01      7.582e-05      2.250e+02      
6.693e+01      5.905e-05      2.241e+02      
6.857e+01      4.599e-05      2.235e+02      
7.021e+01      3.582e-05      2.233e+02      
7.184e+01      2.789e-05      2.231e+02      
7.347e+01      2.172e-05      2.228e+02      
7.511e+01      1.692e-05      2.223e+02      
7.674e+01      1.318e-05      2.211e+02      
7.836e+01      1.026e-05      2.197e+02      
7.997e+01      7.992e-06      2.187e+02      
8.157e+01      6.224e-06      2.173e+02      
8.316e+01      4.847e-06      2.151e+02      
8.472e+01      3.775e-06      2.120e+02      
8.627e+01      2.940e-06      2.079e+02      
8.778e+01      2.290e-06      2.033e+02      
8.925e+01      1.783e-06      1.986e+02      
9.068e+01      1.389e-06      1.945e+02      
9.211e+01      1.082e-06      1.922e+02      
9.352e+01      8.423e-07      1.909e+02      
9.492e+01      6.560e-07      1.902e+02      
9.633e+01      5.109e-07      1.901e+02      
9.774e+01      3.979e-07      1.904e+02      
9.916e+01      3.099e-07      1.915e+02      
1.006e+02      2.413e-07      1.933e+02      
1.021e+02      1.880e-07      1.963e+02      
1.036e+02      1.464e-07      2.004e+02      
1.051e+02      1.140e-07      2.065e+02      
1.067e+02      8.878e-08      2.151e+02      
1.085e+02      6.914e-08      2.282e+02      
1.103e+02      5.385e-08      2.480e+02      
1.124e+02      4.194e-08      2.749e+02      
1.147e+02      3.266e-08      3.099e+02      
1.174e+02      2.544e-08      3.538e+02      
