Table 8 of Seiff et al. (1998)
Pressure(mbar)   Temperature(K)
9.633e-07        899.9 
1.018e-06        903.4 
1.148e-06        897.0 
1.297e-06        883.9 
1.468e-06        872.2 
1.664e-06        866.0 
1.888e-06        865.4 
2.141e-06        869.1 
2.427e-06        875.2 
2.749e-06        881.4 
3.112e-06        885.2 
3.522e-06        884.4 
3.990e-06        877.2 
4.527e-06        862.2 
5.152e-06        840.0 
5.887e-06        812.0 
6.765e-06        776.1 
7.827e-06        741.0 
9.117e-06        712.8 
1.068e-05        692.7 
1.256e-05        680.2 
1.481e-05        674.6 
1.749e-05        669.8 
2.060e-05        670.3 
2.445e-05        664.0 
2.903e-05        642.4 
3.484e-05        594.3 
4.256e-05        545.9 
5.265e-05        535.8 
6.518e-05        535.7 
8.149e-05        483.1 
0.0001072        392.9 
0.0001463        370.2 
0.0002107        289.2 
0.0003367        231.7 
0.0006036        198.6 
0.001152         194.2 
0.002177         177.6 
0.004800         152.8 
0.01094          151.0 
0.02475          155.7 
0.05593          157.2 
0.1257           158.2 
0.2824           157.4 
0.6192           168.6 
1.342            160.5 
3.079            149.8 
7.177            158.1 
16.40            143.8 
43.74            122.6 
135.8            113.2 
351.5            122.9 


