 
Annual and Global Mean Dust Profile from a Ames Legacy MGCM Reference Simulation
Reference: Kahre et al (2023) DOI: 10.1016/j.icarus.2023.115561
---------------------------------------------------------------
 
   Altitude (km)   Dust (#/cm^3)
 
      85.9130       2.65530e-05
      82.6588       4.26018e-05
      79.7820       6.53869e-05
      76.9051       9.97856e-05
      74.1858       0.000148267
      71.3090       0.000227606
      68.3876       0.000351229
      65.5108       0.000553728
      62.8872       0.000864562
      59.6329        0.00160309
      56.7561        0.00298234
      53.8793        0.00588486
      51.1600         0.0116268
      48.2831         0.0239080
      45.3618         0.0477440
      42.4850         0.0892679
      39.6332          0.153273
      36.7188          0.251495
      33.8561          0.389563
      30.9792          0.585614
      28.0866          0.860622
      25.2216           1.22887
      22.3359           1.73032
      19.4591           2.39145
      16.5848           3.27640
      13.6930           4.47560
      10.8302           6.09743
      7.95338           8.38441
      5.06786           11.7783
      3.36472           14.6310
      2.19578           16.9665
