Wavelength(nm)      SolarFlux(mW/m^2/nm)
1.00000000e+00      6.71351160e-03      
1.37500000e+00      5.37061223e-03      
2.12500000e+00      5.15848733e-02      
2.87500000e+00      6.60349172e-02      
3.62500000e+00      4.87207439e-02      
4.12500000e+00      6.11809058e-02      
4.37500000e+00      6.74109868e-02      
4.62500000e+00      6.74109868e-02      
4.87500000e+00      6.74109868e-02      
5.12500000e+00      1.15865712e-01      
5.37500000e+00      1.15865712e-01      
5.62500000e+00      1.15865712e-01      
5.87500000e+00      1.15865712e-01      
6.12500000e+00      1.03057428e-01      
6.37500000e+00      1.03057428e-01      
6.62500000e+00      1.03057428e-01      
6.87500000e+00      1.03057428e-01      
7.12500000e+00      1.08180742e-01      
7.37500000e+00      1.08180742e-01      
7.62500000e+00      1.08180742e-01      
7.87500000e+00      1.08180742e-01      
8.12500000e+00      6.59232553e-02      
8.37500000e+00      6.59232553e-02      
8.62500000e+00      6.59232553e-02      
8.87500000e+00      6.59232553e-02      
9.12500000e+00      7.39826220e-02      
9.37500000e+00      7.39826220e-02      
9.62500000e+00      7.39826220e-02      
9.87500000e+00      7.39826220e-02      
1.01250000e+01      2.56953893e-02      
1.03750000e+01      2.56953893e-02      
1.06250000e+01      2.56953893e-02      
1.08750000e+01      2.56953893e-02      
1.11250000e+01      1.84143722e-02      
1.13750000e+01      1.84143722e-02      
1.16250000e+01      1.84143722e-02      
1.18750000e+01      1.84143722e-02      
1.21000000e+01      1.19418413e-02      
1.23000001e+01      1.15373086e-02      
1.25000001e+01      1.15373086e-02      
1.27000002e+01      1.15373086e-02      
1.31125002e+01      1.12063585e-02      
1.37375002e+01      1.30723396e-02      
1.43625002e+01      3.53705704e-02      
1.49875002e+01      3.87928177e-02      
1.55875002e+01      4.26614400e-02      
1.61625003e+01      5.46746752e-02      
1.67375003e+01      6.66700203e-02      
1.73125004e+01      2.57150943e-01      
1.79625003e+01      1.96276601e-01      
1.86875002e+01      1.28643421e-01      
1.94125001e+01      1.32220907e-01      
2.01375000e+01      8.58025945e-02      
2.08250000e+01      6.08342853e-02      
2.14750001e+01      4.95385036e-02      
2.21250002e+01      6.34055626e-02      
2.27750003e+01      6.09774401e-02      
2.35875003e+01      3.93390888e-02      
2.45625002e+01      9.06510874e-02      
2.55375001e+01      1.42454640e-01      
2.65125000e+01      4.83660529e-02      
2.71250000e+01      6.96246650e-02      
2.73750000e+01      8.50371568e-02      
2.76250000e+01      8.50371568e-02      
2.78750000e+01      8.88382616e-02      
2.82500000e+01      1.04042681e-01      
2.87500000e+01      1.04042681e-01      
2.92500000e+01      2.97644828e-02      
2.97500000e+01      2.97644828e-02      
3.02500000e+01      6.31546953e-01      
3.07500000e+01      6.31546953e-01      
3.12500000e+01      1.22663956e-01      
3.17500000e+01      1.22663956e-01      
3.22500000e+01      1.70350184e-01      
3.27500000e+01      1.70350184e-01      
3.32500000e+01      1.67295901e-01      
3.37500000e+01      1.67295901e-01      
3.42500000e+01      7.15293429e-02      
3.47500000e+01      7.15293429e-02      
3.52500000e+01      6.15388809e-02      
3.57500000e+01      6.15388809e-02      
3.61250000e+01      7.90290861e-02      
3.63750000e+01      8.34016374e-02      
3.66250000e+01      8.34016374e-02      
3.68750000e+01      6.01858006e-02      
3.73750000e+01      1.37541271e-02      
3.81250000e+01      8.51652396e-03      
3.88750000e+01      5.88589937e-03      
3.96250000e+01      5.86225331e-03      
4.03750000e+01      9.83183626e-03      
4.11250000e+01      1.61381101e-02      
4.18750000e+01      1.44513576e-02      
4.26250000e+01      4.77157862e-03      
4.33750000e+01      1.11235025e-02      
4.41250000e+01      6.61761368e-03      
4.48750000e+01      4.53774532e-03      
4.56250000e+01      4.88389742e-03      
4.62500000e+01      1.62366354e-02      
4.67500000e+01      1.76557276e-02      
4.72500000e+01      7.01105791e-03      
4.77500000e+01      7.01105791e-03      
4.82500000e+01      1.16752440e-02      
4.87500000e+01      1.16752440e-02      
4.92500000e+01      4.15678096e-02      
4.97500000e+01      4.15678096e-02      
5.02500000e+01      1.69364932e-02      
5.07500000e+01      1.69364932e-02      
5.12500000e+01      5.80412340e-03      
5.17500000e+01      5.80412340e-03      
5.22500000e+01      1.02269226e-02      
5.27500000e+01      1.02269226e-02      
5.32500000e+01      7.53718282e-03      
5.37500000e+01      7.53718282e-03      
5.42500000e+01      4.85828085e-03      
5.47500000e+01      4.85828085e-03      
5.52500000e+01      2.17543787e-02      
5.57500000e+01      2.17543787e-02      
5.62500000e+01      6.63272089e-03      
5.67500000e+01      6.63272089e-03      
5.72500000e+01      6.60808957e-03      
5.77500000e+01      6.60808957e-03      
5.82500000e+01      3.74297484e-02      
5.87500000e+01      3.74297484e-02      
5.92500000e+01      7.81108306e-03      
5.97500000e+01      7.81108306e-03      
6.02500000e+01      3.21290891e-02      
6.07500000e+01      3.21290891e-02      
6.12500000e+01      9.76976534e-03      
6.17500000e+01      9.76976534e-03      
6.21250000e+01      3.58939366e-02      
6.23750000e+01      4.24249794e-02      
6.26250000e+01      4.24249794e-02      
6.28750000e+01      2.65821167e-02      
6.36250000e+01      8.66702131e-03      
6.48750000e+01      2.24420850e-03      
