Extracted from Fig. 3 in McKay et al. (1988).
Altitude(km)        Pressure(bar)       Radius(micron)      Particles/cm^3      
0.000000e+00        1.635525e+00        4.641589e-01        9.844582e-03        
7.070707e+00        1.319470e+00        4.662040e-01        9.844582e-03        
1.414141e+01        8.784214e-01        4.688589e-01        9.844582e-03        
2.121212e+01        5.736227e-01        4.714866e-01        9.844582e-03        
2.828283e+01        3.674596e-01        4.714866e-01        9.844582e-03        
3.535354e+01        2.321022e-01        4.714866e-01        1.506288e-02        
4.242424e+01        1.456629e-01        4.714866e-01        7.474085e+00        
4.949495e+01        9.178589e-02        4.670325e-01        8.413550e+00        
5.656566e+01        5.918417e-02        4.624725e-01        9.471102e+00        
6.363636e+01        4.046778e-02        4.579570e-01        1.048113e+01        
7.070707e+01        2.984128e-02        4.405228e-01        1.048113e+01        
7.777778e+01        2.298388e-02        4.201897e-01        1.023111e+01        
8.484848e+01        1.799032e-02        3.986752e-01        9.632245e+00        
9.191919e+01        1.427107e-02        3.758597e-01        9.043873e+00        
9.898990e+01        1.142627e-02        3.543500e-01        8.601639e+00        
1.060606e+02        9.214282e-03        3.362332e-01        8.372570e+00        
1.131313e+02        7.475610e-03        3.248131e-01        8.176796e+00        
1.202020e+02        6.100878e-03        3.137808e-01        8.002143e+00        
1.272727e+02        5.009666e-03        3.031233e-01        7.922395e+00        
1.343434e+02        4.134614e-03        2.885486e-01        7.959647e+00        
1.414141e+02        3.426576e-03        2.723924e-01        7.997074e+00        
1.484848e+02        2.850101e-03        2.571408e-01        8.056313e+00        
1.555556e+02        2.379107e-03        2.427432e-01        8.311762e+00        
1.626263e+02        1.992918e-03        2.295789e-01        8.575310e+00        
1.696970e+02        1.674766e-03        2.181271e-01        8.847216e+00        
1.767677e+02        1.411438e-03        2.072466e-01        9.127742e+00        
1.838384e+02        1.192599e-03        1.988913e-01        9.417164e+00        
1.909091e+02        1.010148e-03        1.925517e-01        9.808555e+00        
1.979798e+02        8.576017e-04        1.864141e-01        1.028630e+01        
2.050505e+02        7.297281e-04        1.775151e-01        1.078732e+01        
2.121212e+02        6.221738e-04        1.674248e-01        1.131274e+01        
2.191919e+02        5.315393e-04        1.579081e-01        1.186375e+01        
2.262626e+02        4.551826e-04        1.488591e-01        1.250711e+01        
2.333333e+02        3.907738e-04        1.399464e-01        1.322417e+01        
2.404040e+02        3.362302e-04        1.315673e-01        1.398233e+01        
2.474747e+02        2.898209e-04        1.236899e-01        1.478396e+01        
2.545455e+02        2.501678e-04        1.163682e-01        1.577358e+01        
2.616162e+02        2.161865e-04        1.102494e-01        1.703530e+01        
2.686869e+02        1.870127e-04        1.044523e-01        1.839794e+01        
2.757576e+02        1.619300e-04        9.896000e-02        1.986959e+01        
2.828283e+02        1.403416e-04        9.375653e-02        2.145895e+01        
2.898990e+02        1.217770e-04        8.764359e-02        2.317544e+01        
2.969697e+02        1.058141e-04        8.155127e-02        2.502924e+01        
3.040404e+02        9.207766e-05        7.588244e-02        2.703132e+01        
3.111111e+02        8.022852e-05        7.060767e-02        2.893934e+01        
3.181818e+02        6.997259e-05        6.627068e-02        3.030773e+01        
3.252525e+02        6.106789e-05        6.302903e-02        3.174082e+01        
3.323232e+02        5.332205e-05        5.994594e-02        3.324167e+01        
3.393939e+02        4.657913e-05        5.701366e-02        3.456842e+01        
3.464646e+02        4.070444e-05        5.440049e-02        3.503771e+01        
3.535354e+02        3.558172e-05        5.224133e-02        3.551338e+01        
3.606061e+02        3.111142e-05        5.016785e-02        3.407286e+01        
3.676768e+02        2.720898e-05        4.817668e-02        3.247577e+01        
3.747475e+02        2.380034e-05        4.742225e-02        3.068150e+01        
3.818182e+02        2.082189e-05        4.687701e-02        2.834347e+01        
3.888889e+02        1.821862e-05        4.633804e-02        2.601385e+01        
3.959596e+02        1.594330e-05        4.580526e-02        2.263476e+01        
4.030303e+02        1.395517e-05        4.555033e-02        1.969459e+01        
4.101010e+02        1.221849e-05        4.536863e-02        1.713634e+01        
