PT profile from Fig. 3 in Moreno+2012 (10.1016/j.icarus.2012.09.006). Altitude computed using hydrostatic equation.
Altitude(km)        Pressure(bar)       Temperature(K)      
0.00                1.5123e+00          93.66               
5.99                1.1316e+00          88.83               
11.65               8.4679e-01          83.99               
16.98               6.3365e-01          79.20               
22.07               4.7416e-01          76.66               
27.00               3.5482e-01          74.13               
31.81               2.6551e-01          72.51               
36.52               1.9868e-01          71.00               
41.20               1.4867e-01          70.83               
45.89               1.1125e-01          70.69               
50.59               8.3250e-02          70.87               
55.33               6.2296e-02          71.51               
60.23               4.6616e-02          74.72               
65.60               3.4883e-02          85.09               
72.00               2.6103e-02          104.67              
79.66               1.9533e-02          121.05              
88.31               1.4616e-02          132.33              
97.61               1.0937e-02          138.39              
107.36              8.1845e-03          143.29              
117.49              6.1244e-03          147.30              
127.96              4.5829e-03          150.91              
138.78              3.4294e-03          154.52              
149.94              2.5662e-03          158.02              
161.44              1.9203e-03          161.41              
173.28              1.4370e-03          164.79              
185.47              1.0753e-03          168.17              
198.01              8.0463e-04          171.03              
210.87              6.0211e-04          173.82              
224.06              4.5056e-04          176.61              
237.58              3.3715e-04          179.11              
251.39              2.5229e-04          180.80              
265.47              1.8879e-04          182.49              
279.81              1.4127e-04          183.77              
294.38              1.0571e-04          184.62              
309.14              7.9105e-05          184.82              
324.02              5.9194e-05          183.88              
338.97              4.4295e-05          182.49              
353.92              3.3146e-05          180.55              
368.87              2.4803e-05          178.60              
383.81              1.8560e-05          176.65              
398.74              1.3889e-05          174.78              
413.67              1.0393e-05          173.21              
428.62              7.7770e-06          171.65              
443.57              5.8195e-06          170.08              
458.54              4.3548e-06          168.51              
473.52              3.2587e-06          166.95              
488.51              2.4385e-06          165.49              
503.52              1.8247e-06          164.16              
518.55              1.3654e-06          162.84              
533.61              1.0217e-06          161.51              
548.70              7.6457e-07          160.19              
563.82              5.7213e-07          159.28              
579.02              4.2812e-07          158.71              
594.31              3.2037e-07          158.15              
609.70              2.3973e-07          157.58              
625.18              1.7939e-07          157.03              
640.77              1.3424e-07          156.66              
656.47              1.0045e-07          156.28              
672.29              7.5167e-08          155.91              
688.23              5.6247e-08          155.53              
704.29              4.2090e-08          155.15              
720.47              3.1496e-08          154.91              
736.80              2.3568e-08          154.94              
753.31              1.7636e-08          154.96              
769.98              1.3197e-08          154.99              
786.82              9.8754e-09          155.02              
803.85              7.3898e-09          155.05              
821.05              5.5298e-09          155.08              
838.43              4.1379e-09          155.11              
856.01              3.0964e-09          155.13              
873.77              2.3171e-09          155.16              
891.73              1.7339e-09          155.19              
909.89              1.2974e-09          155.22              
928.26              9.7088e-10          155.25              
946.84              7.2651e-10          155.25              
965.62              5.4365e-10          155.24              
984.64              4.0681e-10          155.22              
1003.87             3.0442e-10          155.21              
1023.33             2.2779e-10          155.20              
1043.04             1.7046e-10          155.18              
1063.00             1.2755e-10          155.17              
1083.21             9.5449e-11          155.15              
1103.69             7.1424e-11          155.14              
1124.46             5.3447e-11          155.12              
1145.51             3.9994e-11          155.11              
1166.86             2.9928e-11          155.10              
1188.55             2.2395e-11          155.08              
1210.56             1.6758e-11          155.07              
1232.92             1.2540e-11          155.05              
1255.66             9.3838e-12          155.04              
1278.80             7.0219e-12          155.03              
1302.30             5.2545e-12          155.01              
1326.11             3.9319e-12          155.00              
1350.21             2.9423e-12          154.98              
1374.61             2.2017e-12          154.97              
1399.31             1.6475e-12          154.96              
1424.32             1.2328e-12          154.94              
1449.64             9.2254e-13          154.93              
1475.29             6.9034e-13          154.91              
1501.26             5.1658e-13          154.90              
