Table 1a: Phase functions used for Titan aerosols above 80 km
Angle(deg)     355nm          430nm          490.9nm        599.9nm        713.1nm        822.4nm        934.8nm        1078nm         1288nm         1583nm         2000nm         2200nm         2800nm         3200nm         3463nm         3668nm         3948nm         5166nm         
0              899.5808       673.2968       412.2874       362.8121       282.2741       228.4653       190.2655       149.2705       110.5304       78.2223        53.1173        45.4511        30.8280        24.9710        22.0827        22.0827        18.0617        12.1182        
1              665.2790       546.0701       350.5672       325.1152       260.7348       215.3160       181.7376       144.2042       107.8794       76.9696        52.5793        45.0690        30.6658        24.8695        22.0055        22.0055        18.0125        12.0981        
2              326.6263       319.9196       227.9134       239.9471       208.3099       181.5770       159.0692       130.3332       100.4230       73.3692        51.0082        43.9480        30.1862        24.5682        21.7761        21.7761        17.8658        12.0382        
3              156.5202       169.6258       131.1647       156.6762       149.6966       140.0333       129.2416       111.0167       89.4816        67.8588        48.5272        42.1614        29.4087        24.0767        21.4007        21.4007        17.6250        11.9391        
4              86.3415        96.3033        77.0671        99.1292        102.2441       102.0976       99.5020        90.1890        76.7762        61.0577        45.3214        39.8215        28.3648        23.4105        20.8896        20.8896        17.2949        11.8022        
5              53.9141        60.4169        48.8202        64.7449        69.8113        72.9907        74.4275        70.9648        63.9438        53.6411        41.6127        37.0663        27.0948        22.5898        20.2561        20.2561        16.8825        11.6293        
6              36.6781        41.0960        33.2609        44.5441        49.0455        52.6511        55.3798        54.9846        52.1854        46.2201        37.6316        34.0449        25.6454        21.6386        19.5165        19.5165        16.3962        11.4223        
7              26.4883        29.6559        23.9974        32.2049        35.7571        38.8982        41.6783        42.5650        42.1413        39.2608        33.5919        30.9028        24.0664        20.5833        18.6887        18.6887        15.8453        11.1840        
8              19.9856        22.3547        18.0694        24.2625        27.0103        29.5565        31.9879        33.2552        33.9663        33.0509        29.6714        27.7697        22.4074        19.4514        17.7919        17.7919        15.2402        10.9172        
9              15.5926        17.4224        14.7996        18.3412        20.3839        22.5988        25.0930        26.3613        27.5058        27.7131        26.0015        24.7513        20.7155        18.2703        16.8455        16.8455        14.5918        10.6249        
10             12.4912        13.9404        13.0651        14.5020        16.1439        17.7680        20.1025        21.2399        22.4711        23.2444        22.6653        21.9249        19.0327        17.0658        15.8684        15.8684        13.9110        10.3104        
15             5.3408         5.9131         8.0617         7.4132         7.7268         8.0605         8.4265         8.9439         9.6368         10.4892        11.3628        11.6138        11.7312        11.4026        11.0802        11.0802        10.3716        8.5254         
20             2.9424         3.2216         4.9673         4.4139         4.4372         4.4687         4.5029         4.7748         5.1433         5.6226         6.2354         6.4939         7.0736         7.2714         7.3217         7.3217         7.2743         6.6736         
30             1.2970         1.3768         2.1146         1.8570         1.8426         1.8310         1.8182         1.9223         2.0654         2.2540         2.5045         2.6201         2.9516         3.1543         3.2758         3.2758         3.4682         3.7393         
40             0.7476         0.7627         1.0695         0.9414         0.9365         0.9331         0.9292         0.9782         1.0470         1.1392         1.2632         1.3208         1.4889         1.5982         1.6688         1.6688         1.7953         2.0705         
50             0.5039         0.4918         0.6247         0.5495         0.5462         0.5438         0.5411         0.5662         0.6028         0.6533         0.7222         0.7545         0.8493         0.9114         0.9519         0.9519         1.0263         1.2077         
60             0.3779         0.3532         0.4096         0.3582         0.3537         0.3498         0.3455         0.3587         0.3793         0.4089         0.4503         0.4700         0.5279         0.5661         0.5911         0.5911         0.6372         0.7529         
70             0.3073         0.2764         0.2958         0.2564         0.2506         0.2452         0.2392         0.2462         0.2582         0.2766         0.3032         0.3160         0.3541         0.3794         0.3960         0.3960         0.4266         0.5042         
80             0.2665         0.2326         0.2323         0.1996         0.1932         0.1869         0.1800         0.1836         0.1909         0.2031         0.2215         0.2306         0.2577         0.2758         0.2878         0.2878         0.3098         0.3658         
90             0.2433         0.2082         0.1966         0.1679         0.1613         0.1549         0.1478         0.1494         0.1542         0.1631         0.1771         0.1841         0.2052         0.2195         0.2289         0.2289         0.2462         0.2906         
100            0.2312         0.1959         0.1780         0.1515         0.1451         0.1387         0.1317         0.1325         0.1360         0.1431         0.1549         0.1608         0.1790         0.1913         0.1994         0.1994         0.2144         0.2529         
110            0.2265         0.1914         0.1710         0.1454         0.1390         0.1326         0.1257         0.1260         0.1289         0.1354         0.1462         0.1517         0.1687         0.1802         0.1878         0.1878         0.2019         0.2381         
120            0.2264         0.1917         0.1728         0.1466         0.1398         0.1331         0.1257         0.1258         0.1287         0.1350         0.1457         0.1511         0.1679         0.1794         0.1869         0.1869         0.2010         0.2369         
130            0.2291         0.1950         0.1816         0.1534         0.1455         0.1377         0.1290         0.1292         0.1321         0.1386         0.1496         0.1552         0.1724         0.1842         0.1920         0.1920         0.2064         0.2433         
140            0.2330         0.1995         0.1958         0.1643         0.1544         0.1447         0.1339         0.1342         0.1373         0.1441         0.1556         0.1614         0.1793         0.1916         0.1997         0.1997         0.2147         0.2531         
150            0.2372         0.2043         0.2132         0.1774         0.1650         0.1526         0.1390         0.1394         0.1427         0.1498         0.1618         0.1679         0.1866         0.1994         0.2078         0.2078         0.2235         0.2636         
160            0.2407         0.2083         0.2306         0.1902         0.1751         0.1599         0.1433         0.1438         0.1472         0.1547         0.1671         0.1735         0.1931         0.2064         0.2151         0.2151         0.2314         0.2726         
165            0.2420         0.2098         0.2379         0.1956         0.1792         0.1629         0.1449         0.1454         0.1490         0.1567         0.1696         0.1761         0.1960         0.2095         0.2183         0.2183         0.2346         0.2762         
170            0.2430         0.2109         0.2436         0.1998         0.1825         0.1653         0.1462         0.1471         0.1512         0.1595         0.1727         0.1792         0.1989         0.2122         0.2210         0.2210         0.2372         0.2789         
171            0.2432         0.2111         0.2445         0.2005         0.1832         0.1658         0.1467         0.1477         0.1520         0.1604         0.1735         0.1799         0.1994         0.2127         0.2214         0.2214         0.2376         0.2793         
