Derived from Table 1 in Tomasko et al. (2008) for Titan's aerosols above 80 km
Wavelength(nm)        Asymmetry(>80km)       Asymmetry(<80km)
355.00000             0.76802                0.76802        
430.00000             0.79835                0.79835        
490.90000             0.77909                0.77909        
599.90000             0.81927                0.81927        
713.10000             0.82705                0.79916        
822.40000             0.83487                0.80140        
934.80000             0.84645                0.81200        
1078.00000            0.84323                0.81038        
1288.00000            0.83601                0.80296        
1583.00000            0.82289                0.78987        
2000.00000            0.80146                0.80146        
2200.00000            0.79074                0.79074        
2800.00000            0.75858                0.75858        
3200.00000            0.73741                0.73741        
3463.00000            0.72372                0.72372        
3668.00000            0.72372                0.72372        
3948.00000            0.69901                0.69901        
5166.00000            0.64040                0.64040        
