Table 2 of Tomasko et al. (2008)
Wavelength(nm) 144km          80km           <30km
430            0.8200         0.9250         0.9200         
491            0.8700         0.9450         0.9752         
531            0.9002         0.9600         0.9600         
555            0.9105         0.9684         0.9550         
600            0.9195         0.9813         0.9750         
634            0.9250         0.9886         0.9550         
670            0.9319         0.9900         0.9775         
675            0.9319         0.9900         0.9700         
751            0.9450         0.9930         0.9700         
830            0.9600         1.0000         0.9925         
934            0.9701         0.9951         0.9333         
934            0.9551         0.9951         0.9951         
938            0.9550         0.9950         0.9950         
1078           0.9500         0.9900         0.9900         
1288           0.9401         0.9800         0.9800         
1583           0.9201         0.9600         0.9600         
