Global average solar fluxes from Fig. 17 in Tomasko et al. (1980): 10.1029/JA085iA13p08167
Altitude(km)       NetSolarFlux(W/m^2)
0.1230141080165339 17.990594655645452
2.5225763247192674 18.282450187157337
4.922138541421997  18.57430571866925
10.021264474085331 19.15701727644816
16.467248711887617 21.834192074922896
23.809189451221645 27.207032518903134
31.6029315488833   31.378967411131498
40.14307917580798  37.94721612801666
48.24222010104998  38.519932633346514
50.189980959425085 40.0126937166103
57.66977845966247  53.48102689168866
61.69281205803128  71.45862797915035
63.17752712407358  81.64858395094433
64.51179166312674  92.13889124883185
66.29380956426569  104.12695715620772
68.82628099090948  115.81267272700018
71.3641497458758   123.90016941613906
74.50337083143843  131.08611237437475
76.14843152639442  134.3789824037102
80.0408048016232   139.4634655845357
84.83633101614701  142.44598923532857
89.78320731238038  144.5284584130856
