fitted cross section for UV absorber, from Haus et al. (2016)
to be used with Haus' number density profile for the UV absorber

 28.966 Molecular Weight of Principal Isotope
                      
     Wavelength Cross-Section  
     (microns)    (cm**2)      
     0.286000  0.000000000  ;fudged
     0.287000  3.30373e-11
     0.289000  4.22085e-11
     0.290000  4.67941e-11
     0.293000  6.05510e-11
     0.298000  8.34789e-11
     0.300000  1.94718e-10
     0.300000  1.94718e-10
     0.302000  3.48749e-10
     0.303000  4.25767e-10
     0.304000  5.02783e-10
     0.305000  5.79801e-10
     0.306000  6.56817e-10
     0.308000  8.91253e-10
     0.310000  2.13865e-09
     0.309000  1.51494e-09
     0.311000  2.76234e-09
     0.313000  4.00974e-09
     0.316000  5.74346e-09
     0.321000  8.07686e-09
     0.330000  1.14477e-08
     0.335000  1.27536e-08
     0.354000  1.42750e-08
     0.374000  1.26012e-08
     0.396000  9.01502e-09
     0.410000  7.11975e-09
     0.423000  5.53169e-09
     0.430000  5.07383e-09
     0.449000  3.93768e-09
     0.467000  3.38150e-09
     0.483000  2.93008e-09
     0.492000  2.68159e-09
     0.513000  2.28402e-09
     0.548000  1.89857e-09
     0.588000  1.59610e-09
     0.610000  1.41665e-09
     0.639000  1.24284e-09
     0.668000  1.11128e-09
     0.691000  1.02119e-09
     0.717000  8.50820e-10
     0.739000  7.24673e-10
     0.765000  5.96388e-10
     0.781000  5.08001e-10
     0.794000  4.34232e-10
     0.801000  3.95791e-10
     0.816000  3.37634e-10
     0.831000  2.79478e-10
     0.841000  2.40707e-10
     0.850000  2.05813e-10
     0.861000  1.63165e-10
     0.874000  1.12763e-10
     0.882000  8.17461e-11
     0.886000  6.62379e-11
     0.889000  5.46065e-11
     0.893000  3.90982e-11
     0.900000  0.000000000  ;fudged
