Rimmer et al. (2021), "cloud-chem.dat" at https://doi.org/10.7910/DVN/AKUTME
p(bar)     T(K)   NH(cm-3)   Kzz(cm2s-1)   Hz(cm)
9.210e+01  735.3  9.072e+20  2.200e+03     0.000e+00  
8.645e+01  727.7  8.605e+20  2.200e+03     1.000e+05  
8.109e+01  720.2  8.155e+20  2.200e+03     2.000e+05  
7.601e+01  712.4  7.728e+20  2.200e+03     3.000e+05  
7.120e+01  704.6  7.319e+20  2.200e+03     4.000e+05  
6.665e+01  696.8  6.928e+20  2.200e+03     5.000e+05  
6.235e+01  688.8  6.556e+20  2.200e+03     6.000e+05  
5.828e+01  681.1  6.198e+20  2.200e+03     7.000e+05  
5.444e+01  673.6  5.854e+20  2.200e+03     8.000e+05  
5.081e+01  665.8  5.527e+20  2.200e+03     9.000e+05  
4.739e+01  658.2  5.215e+20  2.200e+03     1.000e+06  
4.416e+01  650.6  4.916e+20  2.200e+03     1.100e+06  
4.112e+01  643.2  4.630e+20  2.200e+03     1.200e+06  
3.826e+01  635.5  4.361e+20  2.200e+03     1.300e+06  
3.557e+01  628.1  4.102e+20  2.200e+03     1.400e+06  
3.304e+01  620.8  3.855e+20  2.200e+03     1.500e+06  
3.066e+01  613.3  3.621e+20  2.200e+03     1.600e+06  
2.843e+01  605.2  3.402e+20  2.200e+03     1.700e+06  
2.633e+01  597.1  3.194e+20  2.200e+03     1.800e+06  
2.436e+01  589.3  2.994e+20  2.200e+03     1.900e+06  
2.252e+01  580.7  2.809e+20  2.200e+03     2.000e+06  
2.079e+01  572.4  2.631e+20  2.200e+03     2.100e+06  
1.917e+01  564.3  2.461e+20  2.200e+03     2.200e+06  
1.766e+01  556.0  2.301e+20  2.200e+03     2.300e+06  
1.625e+01  547.5  2.150e+20  2.200e+03     2.400e+06  
1.493e+01  539.2  2.006e+20  2.200e+03     2.500e+06  
1.370e+01  530.7  1.870e+20  2.200e+03     2.600e+06  
1.256e+01  522.3  1.742e+20  2.200e+03     2.700e+06  
1.149e+01  513.8  1.620e+20  2.200e+03     2.800e+06  
1.050e+01  505.6  1.504e+20  2.200e+03     2.900e+06  
9.581e+00  496.9  1.397e+20  2.200e+03     3.000e+06  
8.729e+00  488.3  1.295e+20  2.405e+03     3.100e+06  
7.940e+00  479.9  1.198e+20  2.629e+03     3.200e+06  
7.211e+00  471.7  1.107e+20  2.874e+03     3.300e+06  
6.537e+00  463.4  1.022e+20  3.142e+03     3.400e+06  
5.916e+00  455.0  9.417e+19  3.434e+03     3.500e+06  
5.345e+00  446.8  8.665e+19  3.754e+03     3.600e+06  
4.820e+00  438.6  7.960e+19  4.104e+03     3.700e+06  
4.338e+00  430.8  7.293e+19  4.486e+03     3.800e+06  
3.897e+00  423.3  6.668e+19  4.904e+03     3.900e+06  
3.495e+00  415.5  6.092e+19  5.361e+03     4.000e+06  
3.127e+00  408.1  5.550e+19  5.860e+03     4.100e+06  
2.793e+00  401.6  5.037e+19  6.406e+03     4.200e+06  
2.491e+00  395.0  4.568e+19  7.003e+03     4.300e+06  
2.216e+00  388.3  4.134e+19  7.655e+03     4.400e+06  
1.969e+00  381.8  3.735e+19  8.368e+03     4.500e+06  
1.745e+00  376.1  3.361e+19  9.148e+03     4.600e+06  
1.544e+00  370.2  3.021e+19  1.000e+04     4.700e+06  
1.364e+00  364.6  2.710e+19  1.000e+04     4.800e+06  
1.202e+00  357.5  2.435e+19  1.000e+04     4.900e+06  
1.057e+00  349.7  2.189e+19  1.000e+04     5.000e+06  
9.258e-01  341.1  1.966e+19  1.000e+04     5.100e+06  
8.087e-01  332.5  1.762e+19  1.000e+04     5.200e+06  
7.036e-01  321.9  1.583e+19  1.000e+04     5.300e+06  
6.095e-01  312.3  1.414e+19  1.000e+04     5.400e+06  
5.255e-01  301.4  1.263e+19  1.000e+04     5.500e+06  
4.505e-01  290.2  1.124e+19  1.000e+04     5.600e+06  
3.837e-01  278.3  9.986e+18  1.000e+04     5.700e+06  
3.249e-01  267.4  8.800e+18  1.000e+04     5.800e+06  
2.733e-01  258.7  7.652e+18  1.000e+04     5.900e+06  
2.289e-01  253.3  6.545e+18  1.000e+04     6.000e+06  
1.591e-01  246.2  4.681e+18  1.413e+04     6.200e+06  
1.096e-01  240.7  3.298e+18  1.995e+04     6.400e+06  
7.489e-02  235.8  2.300e+18  2.818e+04     6.600e+06  
5.082e-02  231.9  1.587e+18  3.981e+04     6.800e+06  
3.428e-02  228.2  1.088e+18  5.623e+04     7.000e+06  
2.298e-02  224.6  7.411e+17  7.943e+04     7.200e+06  
1.531e-02  221.0  5.018e+17  1.122e+05     7.400e+06  
1.012e-02  216.2  3.390e+17  1.585e+05     7.600e+06  
6.625e-03  210.4  2.281e+17  2.239e+05     7.800e+06  
4.278e-03  202.5  1.530e+17  3.162e+05     8.000e+06  
2.718e-03  195.5  1.007e+17  4.467e+05     8.200e+06  
1.699e-03  188.6  6.525e+16  6.310e+05     8.400e+06  
1.044e-03  181.8  4.159e+16  8.913e+05     8.600e+06  
6.317e-04  176.6  2.591e+16  1.259e+06     8.800e+06  
3.772e-04  172.3  1.586e+16  1.778e+06     9.000e+06  
2.233e-04  170.4  9.492e+15  2.512e+06     9.200e+06  
1.317e-04  169.5  5.628e+15  3.548e+06     9.400e+06  
7.768e-05  170.0  3.310e+15  5.012e+06     9.600e+06  
4.595e-05  170.9  1.947e+15  7.079e+06     9.800e+06  
2.729e-05  172.2  1.148e+15  1.000e+07     1.000e+07  
7.560e-06  175.0  3.129e+14  1.000e+07     1.050e+07  
