Seiff et al. (1985), 10.1016/0273-1177(85)90197-8, VIRA, 45 degrees latitude.
Altitude(km)  Temperature(K)  Pressure(bar)
0             735.3           92.10
1             727.7           86.45
2             720.2           81.09
3             712.4           76.01
4             704.6           71.20
5             696.8           66.65
6             688.8           62.35
7             681.1           58.28
8             673.6           54.44
9             665.8           50.81
10            658.2           47.39
11            650.6           44.16
12            643.2           41.12
13            635.5           38.26
14            628.1           35.57
15            620.8           33.04
16            613.3           30.66
17            605.2           28.43
18            597.1           26.33
19            589.3           24.36
20            580.7           22.52
21            572.4           20.79
22            564.3           19.17
23            556.0           17.66
24            547.5           16.25
25            539.2           14.93
26            530.7           13.70
27            522.3           12.56
28            513.8           11.49
29            505.6           10.50
30            496.9           9.581
31            488.3           8.729
32            479.9           7.940
33            471.7           7.211
34            463.4           6.537
35            455.0           5.916
36            446.8           5.345
37            438.6           4.820
38            430.8           4.338
39            423.3           3.897
40            415.5           3.495
41            408.1           3.127
42            401.6           2.793 
43            395.0           2.491 
44            388.3           2.216 
45            381.8           1.969 
46            376.1           1.745 
47            370.2           1.544 
48            364.6           1.364 
49            357.5           1.202 
50            349.7           1.057 
51            341.1           0.9258
52            332.5           0.8087
53            321.9           0.7036
54            312.3           0.6095
55            301.4           0.5255
56            290.2           0.4505
57            278.3           0.3839
58            267.4           0.3249
59            258.7           0.2733
60            253.3           0.2289
62            246.2           0.1591
64            240.7           0.1096
66            235.8           7.489e-2 
68            231.9           5.082e-2 
70            228.2           3.428e-2  
72            224.6           2.298e-2 
74            221.0           1.531e-2
76            216.2           1.012e-2
78            210.4           6.625e-3
80            202.5           4.278e-3 
82            195.5           2.718e-3 
84            188.6           1.699e-3
86            181.8           1.044e-3
88            176.6           6.317e-4
90            172.3           3.772e-4
92            170.4           2.233e-4
94            169.5           1.317e-4
96            170.0           7.768e-5
98            170.9           4.595e-5
100           172.2           2.729e-5
